Date,Open,High,Low,Close,Volume,OpenInt
20110630,10.2,10.5,9.7,10.2,11585,0
20110701,10.49,10.9,10,10.45,3561,0
20110704,10.65,10.65,10.2,10.49,2053,0
20110705,10.55,10.55,10.2,10.51,1523,0
20110706,10.52,10.52,10,10.43,1462,0
20110707,10.43,10.5,10.43,10.5,296,0
20110708,10.4,10.5,10.4,10.5,201,0
20110711,10.5,10.5,10.5,10.5,209,0
20110712,10.5,10.5,10.5,10.5,200,0
20110713,10.2,10.2,10.2,10.2,1,0
20110714,10.2,10.2,10.2,10.2,2,0
20110715,10.2,10.2,10.2,10.2,2,0
20110718,10.2,10.2,10.2,10.2,2,0
20110719,10.2,10.3,10.2,10.3,169,0
20110720,10.2,10.2,10.2,10.2,298,0
20110721,10.2,10.2,10.2,10.2,2,0
20110722,10.2,10.2,10.2,10.2,602,0
20110725,10.2,10.2,10.2,10.2,2,0
20110726,10.2,10.2,10.2,10.2,2,0
20110727,10.2,10.2,10.2,10.2,69,0
20110728,10.2,10.2,10.2,10.2,2,0
20110808,10.1,10.1,10.1,10.1,100,0
20110816,10,10,10,10,1,0
20110817,9.99,9.99,9.91,9.91,261,0
20110819,9.7,9.7,9.7,9.7,52,0
20110822,9.7,9.7,9.45,9.45,728,0
20110824,9.4,9.4,9.4,9.4,1,0
20110825,9.4,9.4,9.4,9.4,2,0
20110826,9.4,9.4,9.4,9.4,2,0
20110829,9.4,9.4,9.35,9.35,14251,0
20110830,9.4,9.5,9.35,9.5,3884,0
20110831,9.5,9.5,9.5,9.5,2,0
20110901,9.5,9.5,9.5,9.5,2,0
20110902,9.5,9.5,9.5,9.5,2,0
20110905,9.5,9.5,9.35,9.5,15348,0
20110906,9.5,9.5,9.35,9.5,4906,0
20110907,9.5,9.5,9.35,9.5,2338,0
20110908,9.35,9.35,9.35,9.35,6076,0
20110909,9.5,9.5,9.5,9.5,1,0
20110912,9.5,9.5,9.5,9.5,2,0
20110913,9.5,9.5,9.5,9.5,2,0
20110914,9.5,9.5,9.5,9.5,2,0
20110915,9.5,9.5,9.5,9.5,2,0
20110916,9.5,9.5,9.5,9.5,1,0
20110919,9.5,9.5,9.5,9.5,2,0
20110920,9.5,9.5,9.5,9.5,1,0
20110921,9.5,9.5,9.5,9.5,2,0
20110922,9.5,9.5,9.5,9.5,2,0
20110923,9.5,9.5,9.5,9.5,2,0
20110926,9.5,9.5,9.5,9.5,2,0
20110927,9.5,9.5,9.5,9.5,2,0
20110928,9.5,9.5,9.5,9.5,2,0
20110929,9.5,9.5,9.5,9.5,12,0
20110930,9.5,9.5,9.5,9.5,2,0
20111004,9.5,9.5,9.5,9.5,2,0
20111005,9.5,9.5,9.5,9.5,2,0
20111006,9.5,9.5,9.5,9.5,2,0
20111007,9.5,9.5,9.25,9.5,292,0
20111010,9.5,9.5,9.1,9.1,291,0
20111028,9.2,9.2,9.2,9.2,2,0
20111031,9.2,9.2,9.2,9.2,2,0
20111102,9.2,9.2,9.2,9.2,2,0
20111103,9.2,9.2,9.2,9.2,2,0
20111104,9.2,9.2,9.2,9.2,2,0
20111107,9.2,9.2,9.2,9.2,2,0
20111108,9.2,9.5,9.2,9.5,303,0
20111109,9.5,9.5,9.5,9.5,2,0
20111110,9.5,9.5,9.5,9.5,2,0
20111114,9.5,9.5,9.5,9.5,2,0
20111115,9.5,9.6,9.5,9.6,975,0
20111116,9.6,9.6,9.6,9.6,541,0
20111117,9.7,9.7,9.7,9.7,502,0
20111124,9.9,9.9,9.55,9.55,271,0
20111206,9.85,9.85,9.45,9.85,282,0
20111212,9.8,9.8,9.8,9.8,1,0
20111213,9.85,9.85,9.85,9.85,1,0
20111214,9.85,9.85,9.1,9.85,648,0
20111215,9.35,9.85,9.35,9.85,376,0
20111216,8.95,9.25,8.95,9.25,301,0
20111220,9.85,9.85,9.85,9.85,1,0
20111221,9.85,9.85,9.85,9.85,1,0
20111222,8.95,9.85,8.8,8.8,728,0
20111227,9.2,9.2,9.2,9.2,1,0
20111228,9.2,9.2,8.7,9.09,417,0
